,NDVI,X,Y,date
176,4985,39.241,3.551,20240305
177,4985,39.291,3.551,20240305
178,4222,39.341,3.551,20240305
179,4222,39.391,3.551,20240305
180,4538,39.441,3.551,20240305
181,4538,39.491,3.551,20240305
182,3960,39.541,3.551,20240305
183,3960,39.591,3.551,20240305
184,3384,39.641,3.551,20240305
185,3041,39.691,3.551,20240305
186,3041,39.741,3.551,20240305
187,3204,39.791,3.551,20240305
188,3204,39.841,3.551,20240305
189,3231,39.888,3.554,20240305
190,3231,39.921,3.57,20240305
191,3426,37.852,3.617,20240305
192,3788,37.894,3.604,20240305
193,3788,37.941,3.601,20240305
194,3646,37.991,3.601,20240305
195,3646,38.041,3.601,20240305
196,4241,38.091,3.601,20240305
197,4241,38.141,3.601,20240305
198,3979,38.191,3.601,20240305
199,3979,38.241,3.601,20240305
200,3327,38.291,3.601,20240305
201,4309,38.341,3.601,20240305
202,4309,38.391,3.601,20240305
203,4899,38.441,3.601,20240305
204,4899,38.491,3.601,20240305
205,4950,38.541,3.601,20240305
206,4950,38.591,3.601,20240305
207,4637,38.641,3.601,20240305
208,4637,38.691,3.601,20240305
209,4983,38.741,3.601,20240305
210,4983,38.791,3.601,20240305
211,4097,38.841,3.601,20240305
212,4088,38.891,3.601,20240305
213,4088,38.941,3.601,20240305
214,4138,38.991,3.601,20240305
215,4138,39.041,3.601,20240305
216,4321,39.091,3.601,20240305
217,4321,39.141,3.601,20240305
218,3806,39.191,3.601,20240305
219,3806,39.241,3.601,20240305
220,3688,39.291,3.601,20240305
221,3881,39.341,3.601,20240305
222,3881,39.391,3.601,20240305
223,3635,39.441,3.601,20240305
224,3635,39.491,3.601,20240305
225,3858,39.541,3.601,20240305
226,3858,39.591,3.601,20240305
227,3656,39.641,3.601,20240305
228,3656,39.691,3.601,20240305
229,3620,39.741,3.601,20240305
230,3377,39.791,3.601,20240305
231,3377,39.841,3.601,20240305
232,3148,39.891,3.601,20240305
233,3148,39.931,3.604,20240305
234,2421,37.76,3.672,20240305
235,2475,37.796,3.66,20240305
236,3426,37.841,3.651,20240305
237,3426,37.891,3.651,20240305
238,3788,37.941,3.651,20240305
239,3646,37.991,3.651,20240305
240,3646,38.041,3.651,20240305
241,4241,38.091,3.651,20240305
242,4241,38.141,3.651,20240305
243,3979,38.191,3.651,20240305
244,3979,38.241,3.651,20240305
245,3327,38.291,3.651,20240305
246,3327,38.341,3.651,20240305
247,4309,38.391,3.651,20240305
248,4899,38.441,3.651,20240305
249,4899,38.491,3.651,20240305
250,4950,38.541,3.651,20240305
251,4950,38.591,3.651,20240305
252,4637,38.641,3.651,20240305
253,4637,38.691,3.651,20240305
254,4983,38.741,3.651,20240305
255,4983,38.791,3.651,20240305
256,4097,38.841,3.651,20240305
257,4088,38.891,3.651,20240305
258,4088,38.941,3.651,20240305
259,4138,38.991,3.651,20240305
260,4138,39.041,3.651,20240305
261,4321,39.091,3.651,20240305
262,4321,39.141,3.651,20240305
263,3806,39.191,3.651,20240305
264,3806,39.241,3.651,20240305
265,3688,39.291,3.651,20240305
266,3881,39.341,3.651,20240305
267,3881,39.391,3.651,20240305
268,3635,39.441,3.651,20240305
269,3635,39.491,3.651,20240305
270,3858,39.541,3.651,20240305
271,3858,39.591,3.651,20240305
272,3656,39.641,3.651,20240305
273,3656,39.691,3.651,20240305
